,first_title,first_brand,first_price,second_title,second_brand,second_price,pred
20,Samsung Galaxy S21 Plus 5G SM-G996 8/128GB Fioleto,samsung,3697.0,SAMSUNG S21 5G duo,samsung,2599,0
21,Samsung Galaxy A21s SM-A217 3/32GB Niebieski,samsung,1059.0,Samsung S21 5G 128 GB WHITE nowy,samsung,2849,1
22,Samsung Galaxy A21s SM-A217 3/32GB Biały,samsung,999.0,Samsung Galaxy S21 (256GB) fiole+LED Etui (bez rat),samsung,2400,0
23,Samsung Galaxy S21 Ultra 5G SM-G998 16/512GB Srebr,samsung,6979.0,"NOWY SAMSUNG S21 5G 128GB , FIOLET , silver , Black , Gw24m ,  2649zl",samsung,2649,1
24,Samsung Galaxy S5 Mini SM-G800 Czarny,samsung,1299.0,Samsung S21 5G 128GB phantom gray,samsung,2800,1
25,Samsung Galaxy S5 Mini SM-G800 Biały,samsung,1299.0,Samsung.  Galaxy s 21   5G,samsung,2200,0
26,Samsung Galaxy S21 FE 5G SM-G990 6/128GB  Lawendow,samsung,3499.0,Samsung S21 256G 5G Z Ładowarka indukcyjna,samsung,2150,1
27,Samsung Galaxy S21 FE 5G SM-G990 6/128GB Oliwkowy,samsung,3099.0,Samsung galaxy S21 5G,samsung,3250,1
28,Samsung Galaxy S21 FE 5G SM-G990 6/128GB Szary,iphone,3499.0,Iphone 12 pro Max 128 GB,iphone,4100,1
29,Apple iPhone 12 Pro Max 128GB Niebieski Pacific Bl,iphone,5798.0,iPhone 12 Pro Max 256 GB PACIFIC BLUE- niebieski,iphone,5000,0
30,Apple iPhone 12 Pro Max 128GB Srebrny Silver,iphone,6864.49,IPHONE  12 Pro Max *128 GB* Grafitowy,iphone,3700,0
31,Apple iPhone 12 Pro Max 256GB Srebrny Silver,iphone,6399.0,iPhone 12 Pro Max 256gb Space Grey,iphone,4200,0
32,Apple iPhone 12 Pro Max 128GB Grafitowy Graphite,iphone,5999.0,Apple iPhone 13 Pro 128GB/Max GOLD Blue NOWY dostawa Wwa+100km PL GW12,iphone,5199,0
33,Apple iPhone 12 Pro Max 256GB Grafitowy Graphite,iphone,5545.0,Telefon Apple iPhone 12 Pro Max 512 GB #520b iGen Gratis wysyłka,iphone,4500,0
34,Apple iPhone 12 Pro Max 256GB Niebieski Pacific Bl,iphone,5699.0,Apple iPhone 13 Pro 128GB/Max GOLD Blue NOWY dostawa Wwa+100km PL GW12,iphone,5199,1
35,Apple iPhone 12 Pro 128GB Grafitowy Graphite,iphone,5019.99,Smartfon APPLE iPhone 12 pro max 128GB Pacific Blue,iphone,4099,0
36,Apple iPhone 12 Pro 128GB Niebieski Pacific Blue,iphone,5250.0,Iphone 12 pro max 128gb Gold,iphone,4200,0
37,Apple iPhone 12 Pro Max 256GB Złoty Gold,iphone,6927.19,iPhone 12 pro max gold  128gb nowy mozliwosc zamiany,iphone,4100,0
38,Apple iPhone 12 Pro Max 512GB Niebieski Pacific Bl,iphone,5999.0,iPhone 12 pro max gold 512 kupiony xkom,iphone,4850,1
39,Apple iPhone 12 Pro Max 128GB Złoty Gold,iphone,6899.0,Iphone 12pro max,iphone,3999,0
40,Apple iPhone 12 Pro 512GB Grafitowy Graphite,iphone,5399.99,"iPhone 12 Pro Max 128 GB Graphite 100% kondycji, 3 miesięczny",iphone,4299,0
41,Apple iPhone 12 Pro 256GB Grafitowy Graphite,iphone,5070.0,iPhone 12 pro max  128gb,iphone,3800,0
42,Apple iPhone 12 Pro 128GB Złoty Gold,iphone,5295.0,Apple iphone 12 pro max 128 Grafit,iphone,4500,0
43,Apple iPhone 12 Pro 256GB Niebieski Pacific Blue,iphone,5199.0,iPhone 12 Pro Max 256 Gb Gold,iphone,4700,1
44,Apple iPhone 12 Pro Max 512GB Srebrny Silver,iphone,6563.21,Iphone 12 Pro Max 256 GB Jak Nowy Gwarancja apple,iphone,3999,0
45,Apple iPhone 13 Pro Max 256GB Mocny Grafit,iphone,6199.0,Iphone 12 Pro Max 128GB Sprawny,iphone,2800,0
46,Apple iPhone 13 Pro Max 128GB Górski Błękit,iphone,5699.0,Iphone 12 pro max 128 gb,iphone,4100,1
47,Apple iPhone 12 Pro 128GB Srebrny Silver,iphone,4649.0,"Iphone XS MAX 512gb Gold SUPER STAN (nie 11 pro, 12 pro)",iphone,2499,1
48,Apple iPhone 13 Pro Max 256GB Górski Błękit,iphone,6199.0,iPhone 12 Pro Max 256GB,iphone,4000,1
49,Apple iPhone 13 Pro Max 128GB Złoty,iphone,5699.0,Iphone 12 pro max,iphone,3999,1
50,Apple iPhone 13 Pro Max 128GB Srebrny,iphone,5699.0,Iphone 11 Pro 64 GB. Zamienię 11 Pro Max/12.,iphone,4599,1
51,Apple iPhone 11 Pro Max 64GB Nocna Zieleń,iphone,4999.0,Nowy iphone 12 Pro Max 128,iphone,4900,0
52,Apple iPhone 12 Pro 256GB Złoty Gold,iphone,5399.0,iPhone 12pro max 512GB,iphone,3850,1
53,Apple iPhone 13 Pro Max 256GB Srebrny,iphone,6179.0,iPhone 12 Pro Max Pacific Blue (zamiana),iphone,4500,1
54,Apple iPhone 11 Pro Max 256GB Złoty,iphone,5899.0,Fabrycznie Nowy Zalaminowany Iphone Aplle 12 Pro Max Graphite/GW12MC!,iphone,4850,1
55,Apple iPhone 12 Pro 512GB Srebrny Silver,iphone,5924.22,Iphone 12 pro max 256,iphone,3950,0
56,Apple iPhone 12 Pro Max 512GB Grafitowy Graphite,iphone,5899.0,Iphone 12 pro max 128gb Jak nowy,iphone,3150,0
57,Apple iPhone 12 Pro 256GB Srebrny Silver,iphone,5178.0,"Apple iPhone 11 Pro 256gb Silver - idealny stan[13,12,pro,max]",iphone,4999,0
58,Samsung Galaxy S21 FE 5G SM-G990 6/128GB Oliwkowy,iphone,3399.0,iphone 13 mini 128 GB RED aktywowany 9 stycznie !,iphone,3299,1
59,Apple iPhone 13 Mini 128GB Północ,iphone,3599.0,iPhone 13 mini przedsprzedaż GW 24 FV,iphone,2447,1
60,Apple iPhone 13 Mini 128GB Niebieski,iphone,3599.0,"Metro iPhone 13 mini 256gb, 3 kolory",iphone,3800,1
61,Apple iPhone 13 Mini 128GB Księżycowa Poświata,iphone,3599.0,MagicGSM Nowy Apple Iphone 13 Mini 512 GB Midnight Wawa,iphone,4100,0
62,Apple iPhone 13 Mini 128GB (PRODUCT)RED Czerwony,iphone,3499.0,iPhone 13 mini 512 GB przedsprzedaż GW 24 FV,iphone,3647,1
63,Apple iPhone 13 Mini 128GB Różowy,iphone,3599.0,"Sklep !!! Od ręki Nowy Iphone 13 MINI 128GB , 4 KOLORY !!, Cena 3199zl",iphone,3199,0
64,Apple iPhone 13 Mini 256GB Północ,iphone,3989.0,iPhone 13 mini 128GB red czerwony nowy Dzis kupiony,iphone,3499,1
65,Apple iPhone 13 Mini 256GB Niebieski,iphone,4089.0,iphone 13 mini 128 GB RED aktywowany 9 stycznie !,iphone,3299,1
66,Apple iPhone 13 Mini 256GB Księżycowa Poświata,iphone,4099.0,Telefon iphone 13 mini 128gb,iphone,3380,0
67,Apple iPhone 13 Mini 256GB (PRODUCT)RED Czerwony,iphone,4099.0,NOWY Apple iPhone 13 mini 256GB Niebieski Teletorium Auchan Wałbrzych,iphone,3695,0
68,Apple iPhone 13 Mini 256GB Rózowy,iphone,4099.0,iPhone 13 mini 256 Gb,iphone,3400,1
69,Apple iPhone 13 Mini 512GB Północ,iphone,5099.0,IPhone 13 mini/256GB/czarny,iphone,3900,0
70,Apple iPhone 13 Mini 512GB Księżycowa Poświata,iphone,5099.0,Iphone 13 mini 128gb,iphone,3500,1
71,Apple iPhone 13 Mini 512GB Niebieski,iphone,5099.0,Iphone 13 mini 256 black zamiana,iphone,3900,0
72,Apple iPhone 13 Mini 512GB Różowy,iphone,5099.0,iPhone 13 mini przedsprzedaż GW 24 FV,iphone,2447,0
73,Apple iPhone 13 Mini 512GB (PRODUCT)RED Czerwony,iphone,5099.0,iPhone 13 mini niebieski 128GB nowy zaplombowany,iphone,3400,1
