first_title,first_brand,first_price,second_title,second_brand,second_price,label
green onions supply iveil hybrid keyboard protector,green onions supply,31.88,green onions supply iveil hybrid keyboard protector for 13-inch apple macbook pro and 13-inch macbook air rt-kbhb07,green,30.0,0
logitech wireless mouse m315 victorian,logitech,19.88,logitech wireless mouse m310 dark aces 910-002087,logitech,24.45,0
ilive app-enhanced boom box with ipod iphone dock,ilive,63.88,ilive ibp291b portable app-enhanced boombox fm radio with dock for iphone ipod,ilive,48.99,0
startech.com pex13943 4 port pcie 1394a firewire adapter card,startech,34.88,startech.com 3 port 2b 1a 1394 mini pci express firewire card adapter mpex1394b3,startech,61.24,0
tp-link network tl-sg1024d 24 port gigabit desktop switch,global marketing,116.0,d-link dgs-1008g 8-port gigabit desktop switch,d-link,36.98,0
ilive app-enhanced boom box with ipod iphone dock,ilive,63.88,ilive isd291b ipad iphone ipod app-enhanced speaker dock,ilive,69.0,0
lexar media ljdff2gbasbna 2gb jumpdrive firefly usb 2.0 flash drive,lexar media,13.88,lexar jumpdrive twistturn 16 gb usb 2.0 flash drive ljdtt16gasbna silver,lexar,22.39,0
da-lite da-plex deluxe rear projection screen - 96 x 96 av format,da-lite,6426.99,da-lite da-plex deluxe rear projection screen - 94 1 2 x 168 hdtv format,da-lite,9255.17,0
lenovo thinkpad x60 tablet digitizer pen tether 3pk,lenovo,13.67,thinkpad x60 tablet digitizer pen,lenovo,52.99,0
kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints,kodak,94.54,kodak easyshare m552 14mp digital camera with 5x optical zoom and 2.7-inch lcd in black 4gb accessory kit,kodak,119.95,0
gear head 2.4 ghz wireless optical nano mouse black,gear head,15.82,gear head usb 3 button wireless optical wheel mouse - purple black mp2500pur,gear head,11.99,0
corsair memory vs2gbkit400c3 2 gb pc3200 400mhz 184-pin ddr desktop memory kit,corsair,59.82,corsair memory vs1gb533d2 1 gb pc2-4200 533mhz 240-pin ddr2 desktop memory,corsair,15.86,0
energizer 9v nimh 150mah rechargeable battery,energizer,12.97,energizer nimh battery charger,energizer,16.38,0
griffin technology outfit gloss ipod touch 4g black,griffin technology,24.99,griffin technology outfit ice for ipod touch 4g pink,griffin technology,13.76,0
usrobotics 56k usb 2.0 external modem,u.s. robotics,47.82,us robotics v. 92 external 56k faxmodem usr5686e,usrobotics,52.99,0
da-lite da-plex self trimming rear projection screen - 40 1 4 x 53 3 4 video format,da-lite,1892.99,da-plex base rear projection screen - 43 1 4 x 57 3 4 video format,da-lite,1669.99,0
hon 10500 series curved return,hon,479.0,hon 105817rcc - 10500 series curved return right 42w x 18-24d x 29-1 2h harvest,hon,402.29,0
ibm 28p2010 black toner cartridge,ibm,425.0,hp 92298x 98x microfine black toner cartridge,hp,57.98,0
canon powershot elph 100 hs blue 12.1 mp digital camera with 4x optical zoom 3.0 lcd 1080p hd video w 50 bonus prints,canon,178.54,canon powershot a1200 12.1 mp digital camera with 4x optical zoom silver,canon,109.0,0
maxell couleur series ear buds purple,maxell,16.18,new-purple couleur series ear buds - de6235,maxell,21.0,1
lexmark t650a11a black toner print cartridge,lexmark,202.87,brother tn330 black toner cartridge,brother,32.47,0
i-tec ipad anti-glare screen protector,i-tec electronics,17.88,antiglare screen protector for droid x,polaroid,11.02,0
brother tn110bk black toner cartridge,brother,49.88,brother lc41bk black ink cartridge,brother,16.35,0
blackberry skin for playbook tablet black,blackberry,19.88,blackberry playbook 7-inch tablet 32gb,blackberry,532.0,0
wilson jones super heavy weight sheet protector,wilson jones,10.94,new-wilson jones 21401 - super heavy weight sheet protector non-glare finish clear 50 box - wlj21401,wilson jones,28.0,0
elite screens maxwhite vmax2 plus2 series ezelectric motorized screen - 135 diagonal in black case,elite screens,649.99,maxwhite-fiberglass home2 series 47.7 overall height electric motorized screen - 75 diagonal in white case size 100 diagonal in white case,elite,652.0,0
case logic 12.1 laptop sleeve,case logic,19.99,case logic laps-117 17 - 17.3 - inch laptop sleeve black,case logic,19.44,0
pc treasures retractable mighty mini mouse navy,pc treasures,9.88,pc treasures mighty mini mouse - retractable,pc treasures,7.95,0
victor 1570-6 desktop two-color printing calculator,victor,199.88,p170dh desktop calculator 12-digit fluorescent two-color printing black red,canon,34.99,0
lexmark 1382920 toner 3000 page-yield black,lexmark,270.9,oki 52111701 - 52111701 toner 1500 page-yield black,oki,34.46,0
visontek wireless candyboard mini keyboard with touchpad,visiontek,59.82,visiontek candyboard wireless mini keyboard with touchpad 900319,visiontek,49.99,1
epson t020201 color ink cartridge,epson,27.0,epson t077920 77 high capacity color ink cartridges multi-pack,epson,66.9,0
microsoft wireless mobile mouse 4000 sgkomen pink,microsoft,20.0,microsoft wireless mobile mouse 6000 - purple,microsoft,20.95,0
iomega 2tb ego desktop usb 2.0 portable hard drive - midnight blue,iomega,122.98,iomega 500gb ego blackbelt portable hard drive superspeed usb 3.0 usb 2.0 - 35314,iomega,75.72,0
d-link dgs-1008p 8-port gigabit ethernet poe switch,d-link,179.99,d-link dgs-1008g 8-port gigabit desktop switch,d-link,36.98,0
razer lachesis gaming mouse,razer,77.5,razer lachesis 4000 dpi gaming mouse wraith red,razer,72.39,0
vantec nexstar mx dual 3.5 sata hard drive enclosure,vantec,49.71,vantec nexstar 3 superspeed 3.5 sata i ii to usb 3.0 external enclosure,vantec,40.99,0
read right pathkleen printer roller cleaner sheets 8 1 2 10pk,read right,9.84,printer roller cleaner removes excess toner paper particles 8-1 2 x11 10 box rrtrr1237,read right,7.06,1
samsung s2 640gb usb 3.0 portable external hard drive red,samsung,78.88,iosafe rugged portable 250 gb usb 3.0 external hard drive pa50250u1yr,iosafe,145.99,0
v7 3 cat6 snagless molded network patch cable black,v7,4.88,v7 cat6 snagless molded network patch cable rj45 male to male red 3-feet v7n2c6-03f-reds,v7,2.27,0
night owl security products ccd wired color security camera with 60 cable,night owl,67.82,night owl security products cam-s420-245 ccd wired color security camera with 60 of cable,night owl optics,49.99,1
amzer anti-glare screen protector for ipad 2,amzer,13.88,scosche privasee screen protector for ipad 2 fpd2p,scosche,29.99,0
casio exilim ex-zs5 14.1 mp digital camera silver w 5x optical zoom 2.7 lcd display,casio,100.0,casio exilim ex-z16 12 mp digital camera with 3x zoom and 2.7-inch lcd black,casio,98.0,0
sharpie retractable permanent markers fine point assorted 3pk,sharpie,8.18,sharpie 35074 - permanent marker extra fine point assorted 4 set,sharpie,22.34,0
sylvania 4gb touch video mp3 player black,sylvania,35.0,sylvania 2 gb clip mp3 player black,curo7,12.99,0
clickfree c2 500gb usb 3.0 portable external hard drive,clickfree,84.98,clickfree automatic backup c2 1 tb usb 3.0 desktop external hard drive 10373 piano black,clickfree,107.35,0
philips 3 high speed hdmi cable,philips,10.43,sony dlc-he10p round high speed hdmi cable,sony,13.99,0
v7 25 cat6 snagless molded network patch cable green,v7,9.76,v7 cat6 snagless molded network patch cable rj45 male to male black 1-foot v7n2c6-01f-blks,v7,1.79,0
cables unlimited - 3.5 mm 50 male to female stereo cable,cables unlimited,9.88,cables unlimited aud-1100-25 3.5 mm male to male stereo cable 25 feet black,cables unlimited,3.99,0
coby 7 lcd dual screen tablet portable dvd player,coby,139.29,philips pd7012 37 7-inch lcd dual screen portable dvd player black,philips,96.99,0
case logic 12.1 laptop sleeve,case logic,19.99,case logic vls-116 16-inch laptop sleeve black,case logic,15.65,0
scosche fptm mirrored screen protector kit for ipod touch 4g 2pk,scosche,21.88,scosche satinshield 2-pack anti-glare screen protector for ipod touch 4g clear,scosche,8.6,0
zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card,zotac,88.88,msi geforce 220gt 1024 mb ddr3 pci-express 2.0 graphics card md1gd3 lp,msi,79.21,0
night owl optics apollo-45 4-channel h. 264 500gb dvr kit,night owl,338.0,night owl security apollo-dvr5 4-channel h. 264 dvr with d1 recording,night owl optics,199.99,0
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,da-lite,11385.99,da-lite da-view thru-the-wall rear projection screen - 50 1 2 x 67 1 4 video format,da-lite,9739.76,0
siig 1m mini displayport to display port adapter cable,siig,12.88,syba high quality mini displayport to dvi adapter,syba,1.23,0
crown industrial deck plate antifatigue vinyl mat 36 x 144 black yellow border,crown,379.97,new-crown cd0035yb - industrial deck plate antifatigue mat vinyl 36 x 60 black yellow border - cwncd0035yb,crown,193.0,0
clickfree c2 500gb usb 3.0 portable external hard drive,clickfree,84.98,seagate expansion 500 gb usb 2.0 portable external hard drive st905004exa101-rk,seagate,49.99,0
kodak 10c color ink cartridge,kodak,19.97,canon cl-41 color fine ink cartridge,canon,21.9,0
wisconsin badgers iphone 4 case black shell,tribeca,29.99,wisconsin badgers iphone 4 case silicone cover,tribeca,17.99,0
kodak easyshare m531 red 14mp digital camera w 3x optical zoom 2.7 lcd display w 50 bonus prints,kodak,89.0,kodak easyshare m552 14mp digital camera with 5x optical zoom and 2.7-inch lcd in black 4gb accessory kit,kodak,119.95,0
plantronics h91cis encore h91 headset,plantronics,119.88,plantronics gamecom777 gaming headset,plantronics,58.24,0
panasonic lumix dmc-fh5v 16.1 mp violet digital camera w 4x optical zoom 2.7 lcd display,panasonic,129.0,panasonic lumix dmc-fh3 14.1 mp digital camera with 5x optical image stabilized zoom and 2.7-inch lcd black,panasonic,129.47,0
case logic trend compact camera case,case logic,15.19,case logic unzb-3 neoprene compact camcorder camera case black,case logic,9.4,0
canon powershot sx130-is black 12.1 mp digital camera w 12x optical zoom 3.0 lcd display w 50 bonus prints,canon,191.99,canon powershot a1200 12.1 mp digital camera with 4x optical zoom black,canon,121.0,0
dreamgear charge and sync cable for ipod iphone ipad purple,dreamgear,19.88,ihome ip29 portable speaker case for ipod and iphone purple,ihome,77.94,0
sanus powerbridge in wall power and cable management,sanus,84.99,sanus systems elm805-b1 power bridge in-wall power and cable management black,sanus,87.0,1
targus mobile elite 15.4 notebook case,targus,51.99,targus tvr300 travel notebook case,targus,28.24,0
plustek bookreader v100 - b66-bbe21-a,plustek,539.88,plustek book reader v100,plustek,476.7,1
brother tn360 black toner cartridge,brother,45.54,oki 43502001 type 9 black toner cartridge,oki data,68.11,0
da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,da-lite,1609.99,da-lite da-plex unframed rear projection screen - 108 x 144 video format,da-lite,8094.0,0
encore hoyle card games 2011 casual gaming,encore,19.99,encore hoyle puzzle board games 2011,encore software,19.99,0
innovera d3010 black compatible high-yield toner print cartridge,innovera,68.35,innovera pc201 compatible thermal print cartridge ribbon black,innovera,13.13,0
lenovo gray 15.6 ideapad y560-064654yu laptop pc with intel core i7-740qm processor windows 7 home premium,lenovo,998.0,hp brushed aluminum 17.3 pavilion dv7-4087cl laptop pc with intel core i5-430m processor windows 7 home premium,hp,779.99,0
motorola h17 bluetooth headset,motorola,38.84,blueant q1 bluetooth headset,blueant,27.69,0
st. louis cardinals ipod touch 4g hard case,tribeca,29.99,san francisco 49ers ipod touch 4g hard case,tribeca,29.99,0
ep 2gb usb 2.0 capless wave flash drive pink,ep memory,8.84,ep memory 16 gb usb 2.0 capless wave flash drive epclp 16gb-2 .0 pink,ep memory,24.4,0
verbatim 4.7 gb 16x dvd-r lightscribe 1.2 30 packs cake box disc,verbatim,19.72,verbatim dvd r 4.7 gb 16x lightscribe 30pk spindle,verbatim,18.99,0
hp ce278a black laserjet print cartridge,hp,69.84,hp laserjet 13x black print cartridge in retail packaging,hp,70.49,0
canon powershot elph 100 hs blue 12.1 mp digital camera with 4x optical zoom 3.0 lcd 1080p hd video w 50 bonus prints,canon,178.54,canon powershot a3300 16 mp digital camera with 5x optical zoom black,canon,159.0,0
case logic 208 capacity nylon cd dvd wallet,case logic,19.99,case logic cdw-320 320 capacity nylon cd wallet black,case logic,28.99,0
imation 43347 dds-2 data cartridge,imation,10.88,qic data cartridge,imation,53.39,0
san diego padres iphone 4 case silicone cover,tribeca,24.99,san antonio spurs iphone 4 case silicone cover,tribeca,17.99,0
gear head dual laptop cooling fan cf3000u,gear head,15.0,gear head cf3200u dual-cool usb laptop cooling fan black,gear head,5.99,0
