first_title,first_brand,first_price,second_title,second_brand,second_price,label
Apple iPhone 11 Pro Max 64GB Nocna Zieleń,iphone,4399.99,Jak nowy iphone 12 Pro Max 128Gb na gwarancji Cena ostateczna,iphone,3800,1
Apple iPhone 12 Pro 256GB Złoty Gold,iphone,5399,iPhone 12 pro max 128 GB gwarancja jak Nowy Ideal,iphone,4300,1
Apple iPhone 13 Pro Max 256GB Srebrny,iphone,6199,iPhone 12 pro max white silver 256,iphone,4150,1
Apple iPhone 11 Pro Max 256GB Złoty,iphone,5899,IPHONE  12 Pro Max *128 GB* Grafitowy,iphone,3800,1
Apple iPhone 12 Pro 512GB Srebrny Silver,iphone,5924.96,iPhone 12 Pro Max 128GB NOWY (Gwarancja),iphone,4600,1
Apple iPhone 12 Pro Max 512GB Grafitowy Graphite,iphone,5899,Iphone 12 Pro Max 256 gb Pacific Blue,iphone,5300,1
Apple iPhone 12 Pro 256GB Srebrny Silver,iphone,5340,iPhone 12 Pro Max 256gb Space Grey,iphone,4200,1
Samsung Galaxy S21 FE 5G SM-G990 6/128GB Szary,iphone,3499,iPhone 13 mini 128gb Północ Czarny,iphone,3200,1
Apple iPhone 13 Mini 128GB Północ,iphone,3599,iphone 13 mini 128 GB RED aktywowany 9 stycznie !,iphone,3299,1
Apple iPhone 13 Mini 128GB Niebieski,iphone,3599,Nowy Iphone 13mini 512GB Midnight Oksikom Wrocław,iphone,4099,1
Apple iPhone 13 Mini 128GB Księżycowa Poświata,iphone,3599,Iphone 13 mini 512GB blue Oksikom Wrocław,iphone,4099,1
Apple iPhone 13 Mini 128GB (PRODUCT)RED Czerwony,iphone,3499,"MagicGsm Nowy Apple iPhone 13 Mini 256 GB Midnight, Starlight",iphone,3800,1
Apple iPhone 13 Mini 128GB Różowy,iphone,3599,Iphone 13 mini 256 black zamiana,iphone,3900,1
Apple iPhone 13 Mini 256GB Północ,iphone,3989,iPhone 13 mini przedsprzedaż GW 24 FV,iphone,2447,1
Apple iPhone 13 Mini 256GB Niebieski,iphone,4099,iPhone 13 mini niebieski 128GB nowy zaplombowany,iphone,3400,1
Apple iPhone 13 Mini 256GB Księżycowa Poświata,iphone,4099,Iphone 13 mini 256 gb nowy!,iphone,3350,1
Apple iPhone 13 Mini 256GB (PRODUCT)RED Czerwony,iphone,4099,Iphone 13 mini 256gb niebieski,iphone,3350,1
Apple iPhone 13 Mini 256GB Rózowy,iphone,4099,NOWY iPhone 13 mini / 128GB / Niebieski /,iphone,3490,1
Apple iPhone 13 Mini 512GB Północ,iphone,5099,iPhone 13 mini 256 GB przedsprzedaż GW 24 FV,iphone,2847,1
Apple iPhone 13 Mini 512GB Księżycowa Poświata,iphone,5099,Apple Iphone 13 Mini 128gb,iphone,3200,1
Apple iPhone 13 Mini 512GB Niebieski,iphone,5099,Apple Iphone 13 Mini 128gb,iphone,3200,1
Apple iPhone 13 Mini 512GB Różowy,iphone,5099,iPhone 13 mini 128gb Północ Czarny,iphone,3200,1
Apple iPhone 13 Mini 512GB (PRODUCT)RED Czerwony,iphone,5099,Iphone 13 mini 256gb,iphone,3500,1
